number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands,snapshot_time
89,toulouse,00089 - COMPANS - CAFFARELLI MÉTRO,1 ESP COMPANS-CAFFARELLI,"{'latitude': 43.611073, 'longitude': 1.436704}",False,False,OPEN,2025-06-24T08:39:22Z,True,False,,"{'availabilities': {'bikes': 8, 'stands': 13, 'mechanicalBikes': 8, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}","{'availabilities': {'bikes': 8, 'stands': 13, 'mechanicalBikes': 8, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}",,2025-06-24T10:40:30.138289
366,toulouse,00366 - ONCOPOLE TÉLÉO,avenue Irène Joliot Curie,"{'latitude': 43.554843, 'longitude': 1.428013}",True,False,OPEN,2025-06-24T08:36:18Z,True,False,,"{'availabilities': {'bikes': 12, 'stands': 1, 'mechanicalBikes': 1, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 12, 'stands': 1, 'mechanicalBikes': 1, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
100,toulouse,00100 - PORT ST - SAUVEUR - SABATIER,16 ALL PAUL SABATIER,"{'latitude': 43.596652, 'longitude': 1.45564}",False,False,OPEN,2025-06-24T08:38:49Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
215,toulouse,00215 - ARGOULETS MÉTRO,FACE 8 RUE DE GAILLAC,"{'latitude': 43.623823, 'longitude': 1.475935}",False,False,OPEN,2025-06-24T08:34:07Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
54,toulouse,00054 - CHAINE - TIERCERETTES,10 RUE DE LA CHAINE,"{'latitude': 43.608674, 'longitude': 1.439461}",False,False,OPEN,2025-06-24T08:32:04Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}","{'availabilities': {'bikes': 2, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}",,2025-06-24T10:40:30.138289
8,toulouse,00008 - VIDAL - SAINT - JEROME,19 RUE PAUL VIDAL,"{'latitude': 43.603205, 'longitude': 1.448118}",False,False,OPEN,2025-06-24T08:39:24Z,True,False,,"{'availabilities': {'bikes': 21, 'stands': 3, 'mechanicalBikes': 11, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 21, 'stands': 3, 'mechanicalBikes': 11, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",,2025-06-24T10:40:30.138289
180,toulouse,00180 - PLACE DE SOUPETARD,3 PLACE DE SOUPETARD,"{'latitude': 43.612162, 'longitude': 1.477347}",False,False,OPEN,2025-06-24T08:37:53Z,True,False,,"{'availabilities': {'bikes': 3, 'stands': 13, 'mechanicalBikes': 2, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 3, 'stands': 13, 'mechanicalBikes': 2, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
277,toulouse,00277 - ZAMENHOF,10/12 RUE ZAMENHOF,"{'latitude': 43.585431, 'longitude': 1.377279}",False,False,OPEN,2025-06-24T08:39:28Z,True,False,,"{'availabilities': {'bikes': 12, 'stands': 4, 'mechanicalBikes': 7, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 12, 'stands': 4, 'mechanicalBikes': 7, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
214,toulouse,00214 - CASTRES - ACHIARY,48 AV DE CASTRES,"{'latitude': 43.600828, 'longitude': 1.473579}",False,False,OPEN,2025-06-24T08:31:30Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}","{'availabilities': {'bikes': 0, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}",,2025-06-24T10:40:30.138289
114,toulouse,00114 - MONTPLAISIR - DELIEUX,FACE 43 RUE MONTPLAISIR,"{'latitude': 43.592347, 'longitude': 1.457491}",False,False,OPEN,2025-06-24T08:39:05Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 17, 'mechanicalBikes': 2, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 17, 'mechanicalBikes': 2, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
